,phi,theta,psi,delta,xr,yr,zr
47,-0.2890150498545,-0.40606659115597193,-0.3569207616161592,0.32275690349784064,869.0301996694847,-8233.836441105785,592.0171420624978
48,-0.31652271023061473,-0.4068642541030904,-0.36904686472266623,0.32960012802645416,880.986685956333,-32935.60758717479,592.9744459363757
49,-0.2982522328595479,-0.4076688086424636,-0.43137384443373467,0.39400660554665323,892.9868491455081,-65871.23748001736,593.9744016267674
50,-0.30474399889465054,-0.39586811618864465,-0.46844147615499027,0.4376146196149856,905.0258149298407,-65871.23748001736,595.9610945729655
51,-0.3094998743121245,-0.3951947996700069,-0.47883133261431304,0.44310384333564135,916.0118974191008,-131742.48665852137,597.0005622550744
52,-0.30457579115325384,-0.4021453940200264,-0.4960821350881187,0.45992196161537885,926.9762036936485,263484.98963564483,596.960601577739
53,-0.2958784328639835,-0.3957558495306197,-0.526859999157646,0.49173570809871414,939.0137722148983,-526969.9884005588,598.0082318752642
54,-0.2959131893911193,-0.3957502120643146,-0.5418487820006256,0.5033360051756558,950.0038894882189,-1053939.9783584243,599.0074109919841
55,-0.30110432418155886,-0.3956292319872143,-0.5519077191225713,0.5090367745974624,961.0197377678332,-2107879.9575124662,599.9928466529162
56,-0.3058318112434133,-0.39782466182093207,-0.5791105214092259,0.5413021529610825,972.9828797920054,-4215759.915431442,600.9596898730783
57,-0.3085916136329987,-0.39163888484987425,-0.5936633231690129,0.5553250522036735,984.0509114461996,8431519.831487086,601.9911130883563
58,-0.30119828280607025,-0.3983916509811168,-0.6078720546281652,0.5696852613181496,995.0358049814458,16863039.663080525,601.9911452297359
59,-0.30523647997060743,-0.40219347403548594,-0.6278489488758183,0.571545067382402,1001.5058212169426,16863039.663080525,602.2946019588643
60,-0.3023775426585404,-0.39170763748583937,-0.641178569204504,0.5992573769829638,1018.0313786755627,33726079.32621598,603.9729039306216
61,-0.3313092533481199,-0.38316360322225307,-0.6578073718907017,0.6064097313390167,1023.340662034857,33726079.32621598,604.2335209393009
62,-0.30862368242219157,-0.39032672151499964,-0.6563019003849984,0.6049874577677626,1028.2879023674914,33726079.32621598,604.522120505834
63,-0.28342827608092835,-0.39637193586994957,-0.6728297119275868,0.6251182987123267,1046.302045714966,33726079.32621598,605.5839245427369
64,-0.3088931954360972,-0.3918777408439871,-0.6665996369555519,0.6430915105394973,1054.5728868470069,33726079.32621598,606.2874075722955
65,-0.2940965102707893,-0.3880304094031012,-0.6917814826143242,0.6392398381975024,1063.6106129600767,33726079.32621598,607.1402849506011
66,-0.28239731487626246,-0.38775562488453985,-0.717955357742526,0.6752985406026376,1073.6507908117624,33726079.32621598,608.0344756340505
67,-0.23371929058453902,-0.39247314653833676,-0.7423593911210433,0.7423578860586327,1092.9994244429802,-67452158.65252742,611.0015580796781
68,-0.22831791698119125,-0.3957219445963707,-0.7666708776120262,0.7416884005419623,1094.6231618893123,-67452158.65252742,611.0862554390313
69,-0.2218912401443152,-0.3730021805302572,-0.7826803339059367,0.7464090660631032,1096.9879385258293,-67452158.65252742,611.2216475696342
70,-0.21125712785078507,-0.3844121359871221,-0.8051287832262713,0.7517247034664952,1100.1736389371974,-67452158.65252742,611.3422021601444
71,-0.19125203971199067,-0.39331199622451885,-0.8548636632706291,0.7775011582097858,1110.272361056795,-67452158.65252742,611.7931113642603
72,-0.10889023299483304,-0.3941373459770902,-0.8858509105197516,0.8809597369447377,1136.5932964516435,-67452158.65252742,613.2254197903958
73,-0.12214082241574627,-0.39913600815047806,-0.8974782772721265,0.905695484935481,1140.9613430233464,-67452158.65252742,613.6724868608927
74,-0.0898846846735816,-0.403668517048072,-0.9319290316052494,1.0025578212428756,1161.474234410075,-134904317.3050732,617.0108721475744
75,-0.07017423383474151,-0.42342482113383983,-0.9591728584762861,1.0059059431990525,1162.184587067192,-134904317.3050732,617.0560586593551
